"giria","significado"
"Modo Sapo","Quando você só fica parado, sem fazer nada, mas se sentindo um rei."
"Espatulaço","Quando você pega muitos talheres no self-service sem perceber."
"Fome de Guaxinim","Revirar a geladeira de madrugada procurando algo pra comer."
"Arrependimento de Almofada","Virar o travesseiro pro lado frio e perceber que o quente era melhor."
"Torresmo Digital","Quando você tenta tirar uma foto da comida e ela fica horrível."
"Micromedo","Ficar tenso esperando a pipoca estourar no micro-ondas."
"Canguru do Sofá","Pular do sofá pro controle remoto sem querer levantar."
"Pistoleiro de Elevador","Apertar várias vezes o botão achando que vai chegar mais rápido."
"Frigoblin","Ficar abrindo a geladeira esperando que apareça algo novo lá dentro."
"Soneca Olímpica","Colocar 10 alarmes e ignorar todos como um atleta do sono."
"Cachecol de Celular","Enrolar o carregador de qualquer jeito e depois passar 10 minutos desembolando."
"Caminho do Arrependimento","Estacionar longe achando que vai economizar tempo e depois perceber que foi um erro."
"Filósofo do Chuveiro","Ter grandes ideias no banho, mas esquecer todas ao sair."
"Modo Lagarto","Ficar no sol um tempão e só perceber que queimou quando já é tarde."
"Estátua de Wifi","Ficar parado num canto específico porque só ali o sinal de internet funciona."
"Cafepocalipse","Colocar café na boca e perceber que tá quente demais, mas já é tarde."
"Sombra de Biscoito","Achar que alguém te respondeu no WhatsApp e era só uma notificação aleatória."
"Maratona Fantasma","Ficar trocando de série no streaming sem terminar nenhuma."
"Drama do Adaptador","Quando você acha que tem o carregador certo, mas a entrada não encaixa."
"Sanduíche Acrobata","Morder o lanche e metade do recheio sair voando."
"Elevador de Papel","Jogar um papel no lixo e errar, mas fingir que não viu."
"Esquema de Risco","Colocar um copo muito perto da beira da mesa e viver no limite."
"Guaxinim do Cinema","Comer metade da pipoca antes do filme começar."
"Beber Água por Esporte","Quando você toma água só porque tá entediado, não porque tem sede."
"Tetris de Geladeira","Tentar enfiar uma panela gigante na geladeira sem reorganizar nada."
"Empresário da Soneca","Colocar o despertador 5 minutos mais tarde como se fosse mudar algo."
"Pânico de Caixa","Ficar nervoso tentando guardar as compras rápido enquanto a fila cresce."
"Escapada Ninja","Tentar sair de uma conversa chata sem parecer rude."
"Modo GPS Humano","Andar olhando o celular e quase trombar com tudo."
"Duelo de Carrinho","Tentar ultrapassar alguém no supermercado sem parecer mal-educado."
"Surpresa do Espelho","Achar que tá normal até ver um espelho e perceber que não tá."
"Zona do Carregador","Deitar de um jeito impossível só pra alcançar o carregador do celular."
"Truque do Guardanapo","Limpar a mão na roupa porque não tem guardanapo por perto."
"Gole Arrependido","Beber um líquido achando que é outra coisa e se sentir traído."
"Desafio do Saquinho","Tentar abrir um pacote de salgadinho e quase rasgar ele inteiro."
"Caderno da Vida","Anotar algo importante num papel e perder ele 5 minutos depois."
"Camiseta de Emergência","Achar uma blusa velha e se perguntar por que parou de usar."
"Modo Buraco Negro","Mexer no celular rapidinho e perceber que já passou 3 horas."
"Zebra da Torneira","Tentar regular a água do chuveiro e acabar queimando ou congelando."
"Caçador de Controle","Levantar todas as almofadas do sofá procurando o controle remoto."
"Chinelo da Tristeza","Botar um chinelo achando que tá certo e perceber que tá trocado."
"Silêncio Tenso","Fazer um barulho estranho no meio do silêncio e tentar fingir que não foi você."
"Bolsa Abismo","Colocar algo na bolsa/mochila e nunca mais encontrar."
"Tetris de Roupas","Colocar a roupa na gaveta sem dobrar, só empurrando pra caber."
"Refém do Sofá","Sentar 'só um pouquinho' e acabar ficando o dia inteiro."
